area_name,area_code,date,new_cases,total_cases
Tower Hamlets,E09000030,12/02/2020,0,0
Waltham Forest,E09000031,12/02/2020,0,0
Wandsworth,E09000032,12/02/2020,0,0
Westminster,E09000033,12/02/2020,0,0
Barking and Dagenham,E09000002,13/02/2020,0,0
Barnet,E09000003,13/02/2020,0,0
Bexley,E09000004,13/02/2020,0,0
Brent,E09000005,13/02/2020,0,0
Bromley,E09000006,13/02/2020,0,0
Camden,E09000007,13/02/2020,0,0
Croydon,E09000008,13/02/2020,0,0
Ealing,E09000009,13/02/2020,0,0
Enfield,E09000010,13/02/2020,0,0
Greenwich,E09000011,13/02/2020,0,0
Hackney and City of London,E09000012,13/02/2020,0,0
Hammersmith and Fulham,E09000013,13/02/2020,0,0
Haringey,E09000014,13/02/2020,0,0
Harrow,E09000015,13/02/2020,0,0
Havering,E09000016,13/02/2020,0,0
Hillingdon,E09000017,13/02/2020,0,0
Hounslow,E09000018,13/02/2020,0,0
Islington,E09000019,13/02/2020,0,0
Kensington and Chelsea,E09000020,13/02/2020,0,0
Kingston upon Thames,E09000021,13/02/2020,0,0
Lambeth,E09000022,13/02/2020,0,0
Lewisham,E09000023,13/02/2020,0,1
Merton,E09000024,13/02/2020,0,0
Newham,E09000025,13/02/2020,0,0
Redbridge,E09000026,13/02/2020,0,0
Richmond upon Thames,E09000027,13/02/2020,0,0
Southwark,E09000028,13/02/2020,0,0
Sutton,E09000029,13/02/2020,0,0
Tower Hamlets,E09000030,13/02/2020,0,0
Waltham Forest,E09000031,13/02/2020,0,0
Wandsworth,E09000032,13/02/2020,0,0
Westminster,E09000033,13/02/2020,0,0
Barking and Dagenham,E09000002,14/02/2020,0,0
Barnet,E09000003,14/02/2020,0,0
Bexley,E09000004,14/02/2020,0,0
Brent,E09000005,14/02/2020,0,0
Bromley,E09000006,14/02/2020,0,0
Camden,E09000007,14/02/2020,0,0
Croydon,E09000008,14/02/2020,0,0
Ealing,E09000009,14/02/2020,0,0
Enfield,E09000010,14/02/2020,0,0
Greenwich,E09000011,14/02/2020,0,0
Hackney and City of London,E09000012,14/02/2020,0,0
Hammersmith and Fulham,E09000013,14/02/2020,0,0
Haringey,E09000014,14/02/2020,0,0
Harrow,E09000015,14/02/2020,0,0
Havering,E09000016,14/02/2020,0,0
Hillingdon,E09000017,14/02/2020,0,0
Hounslow,E09000018,14/02/2020,0,0
Islington,E09000019,14/02/2020,0,0
Kensington and Chelsea,E09000020,14/02/2020,0,0
Kingston upon Thames,E09000021,14/02/2020,0,0
Lambeth,E09000022,14/02/2020,0,0
Lewisham,E09000023,14/02/2020,0,1
Merton,E09000024,14/02/2020,0,0
Newham,E09000025,14/02/2020,0,0
Redbridge,E09000026,14/02/2020,0,0
Richmond upon Thames,E09000027,14/02/2020,0,0
Southwark,E09000028,14/02/2020,0,0
Sutton,E09000029,14/02/2020,0,0
Tower Hamlets,E09000030,14/02/2020,0,0
Waltham Forest,E09000031,14/02/2020,0,0
Wandsworth,E09000032,14/02/2020,0,0
Westminster,E09000033,14/02/2020,0,0
Barking and Dagenham,E09000002,15/02/2020,0,0
Barnet,E09000003,15/02/2020,0,0
Bexley,E09000004,15/02/2020,0,0
Brent,E09000005,15/02/2020,0,0
Bromley,E09000006,15/02/2020,0,0
Camden,E09000007,15/02/2020,0,0
Croydon,E09000008,15/02/2020,0,0
Ealing,E09000009,15/02/2020,0,0
Enfield,E09000010,15/02/2020,0,0
Greenwich,E09000011,15/02/2020,0,0
Hackney and City of London,E09000012,15/02/2020,0,0
Hammersmith and Fulham,E09000013,15/02/2020,0,0
Haringey,E09000014,15/02/2020,0,0
Harrow,E09000015,15/02/2020,0,0
Havering,E09000016,15/02/2020,0,0
Hillingdon,E09000017,15/02/2020,0,0
Hounslow,E09000018,15/02/2020,0,0
Islington,E09000019,15/02/2020,0,0
Kensington and Chelsea,E09000020,15/02/2020,0,0
Kingston upon Thames,E09000021,15/02/2020,0,0
Lambeth,E09000022,15/02/2020,0,0
Lewisham,E09000023,15/02/2020,0,1
Merton,E09000024,15/02/2020,0,0
Newham,E09000025,15/02/2020,0,0
Redbridge,E09000026,15/02/2020,0,0
Richmond upon Thames,E09000027,15/02/2020,0,0
Southwark,E09000028,15/02/2020,0,0
Sutton,E09000029,15/02/2020,0,0
Tower Hamlets,E09000030,15/02/2020,0,0
Waltham Forest,E09000031,15/02/2020,0,0
Wandsworth,E09000032,15/02/2020,0,0
Westminster,E09000033,15/02/2020,0,0
Barking and Dagenham,E09000002,16/02/2020,0,0
Barnet,E09000003,16/02/2020,0,0
Bexley,E09000004,16/02/2020,0,0
Brent,E09000005,16/02/2020,0,0
Bromley,E09000006,16/02/2020,0,0
Camden,E09000007,16/02/2020,0,0
Croydon,E09000008,16/02/2020,0,0
Ealing,E09000009,16/02/2020,0,0
Enfield,E09000010,16/02/2020,0,0
Greenwich,E09000011,16/02/2020,0,0
Hackney and City of London,E09000012,16/02/2020,0,0
Hammersmith and Fulham,E09000013,16/02/2020,0,0
Haringey,E09000014,16/02/2020,0,0
Harrow,E09000015,16/02/2020,0,0
Havering,E09000016,16/02/2020,0,0
Hillingdon,E09000017,16/02/2020,0,0
Hounslow,E09000018,16/02/2020,0,0
Islington,E09000019,16/02/2020,0,0
Kensington and Chelsea,E09000020,16/02/2020,0,0
Kingston upon Thames,E09000021,16/02/2020,0,0
Lambeth,E09000022,16/02/2020,0,0
Lewisham,E09000023,16/02/2020,0,1
Merton,E09000024,16/02/2020,0,0
Newham,E09000025,16/02/2020,0,0
Redbridge,E09000026,16/02/2020,0,0
Richmond upon Thames,E09000027,16/02/2020,0,0
Southwark,E09000028,16/02/2020,0,0
Sutton,E09000029,16/02/2020,0,0
Tower Hamlets,E09000030,16/02/2020,0,0
Waltham Forest,E09000031,16/02/2020,0,0
Wandsworth,E09000032,16/02/2020,0,0
Westminster,E09000033,16/02/2020,0,0
Barking and Dagenham,E09000002,17/02/2020,0,0
Barnet,E09000003,17/02/2020,0,0
Bexley,E09000004,17/02/2020,0,0
Brent,E09000005,17/02/2020,0,0
Bromley,E09000006,17/02/2020,0,0
Camden,E09000007,17/02/2020,0,0
Croydon,E09000008,17/02/2020,0,0
Ealing,E09000009,17/02/2020,0,0
Enfield,E09000010,17/02/2020,0,0
Greenwich,E09000011,17/02/2020,0,0
Hackney and City of London,E09000012,17/02/2020,0,0
Hammersmith and Fulham,E09000013,17/02/2020,0,0
Haringey,E09000014,17/02/2020,0,0
Harrow,E09000015,17/02/2020,0,0
Havering,E09000016,17/02/2020,0,0
Hillingdon,E09000017,17/02/2020,0,0
Hounslow,E09000018,17/02/2020,0,0
Islington,E09000019,17/02/2020,0,0
Kensington and Chelsea,E09000020,17/02/2020,0,0
Kingston upon Thames,E09000021,17/02/2020,0,0
Lambeth,E09000022,17/02/2020,0,0
Lewisham,E09000023,17/02/2020,0,1
Merton,E09000024,17/02/2020,0,0
Newham,E09000025,17/02/2020,0,0
Redbridge,E09000026,17/02/2020,0,0
Richmond upon Thames,E09000027,17/02/2020,0,0
Southwark,E09000028,17/02/2020,0,0
Sutton,E09000029,17/02/2020,0,0
Tower Hamlets,E09000030,17/02/2020,0,0
Waltham Forest,E09000031,17/02/2020,0,0
Wandsworth,E09000032,17/02/2020,0,0
Westminster,E09000033,17/02/2020,0,0
Barking and Dagenham,E09000002,18/02/2020,0,0
Barnet,E09000003,18/02/2020,0,0
Bexley,E09000004,18/02/2020,0,0
Brent,E09000005,18/02/2020,0,0
Bromley,E09000006,18/02/2020,0,0
Camden,E09000007,18/02/2020,0,0
Croydon,E09000008,18/02/2020,0,0
Ealing,E09000009,18/02/2020,0,0
Enfield,E09000010,18/02/2020,0,0
Greenwich,E09000011,18/02/2020,0,0
Hackney and City of London,E09000012,18/02/2020,0,0
Hammersmith and Fulham,E09000013,18/02/2020,0,0
Haringey,E09000014,18/02/2020,0,0
Harrow,E09000015,18/02/2020,0,0
Havering,E09000016,18/02/2020,0,0
Hillingdon,E09000017,18/02/2020,0,0
Hounslow,E09000018,18/02/2020,0,0
Islington,E09000019,18/02/2020,0,0
Kensington and Chelsea,E09000020,18/02/2020,0,0
Kingston upon Thames,E09000021,18/02/2020,0,0
Lambeth,E09000022,18/02/2020,0,0
Lewisham,E09000023,18/02/2020,0,1
Merton,E09000024,18/02/2020,0,0
Newham,E09000025,18/02/2020,0,0
Redbridge,E09000026,18/02/2020,0,0
Richmond upon Thames,E09000027,18/02/2020,0,0
Southwark,E09000028,18/02/2020,0,0
Sutton,E09000029,18/02/2020,0,0
Tower Hamlets,E09000030,18/02/2020,0,0
Waltham Forest,E09000031,18/02/2020,0,0
Wandsworth,E09000032,18/02/2020,0,0
Westminster,E09000033,18/02/2020,0,0
Barking and Dagenham,E09000002,19/02/2020,0,0
Barnet,E09000003,19/02/2020,0,0
Bexley,E09000004,19/02/2020,0,0
Brent,E09000005,19/02/2020,0,0
Bromley,E09000006,19/02/2020,0,0
Camden,E09000007,19/02/2020,0,0
Croydon,E09000008,19/02/2020,0,0
Ealing,E09000009,19/02/2020,0,0
Enfield,E09000010,19/02/2020,0,0
Greenwich,E09000011,19/02/2020,0,0
Hackney and City of London,E09000012,19/02/2020,0,0
Hammersmith and Fulham,E09000013,19/02/2020,0,0
Haringey,E09000014,19/02/2020,0,0
Harrow,E09000015,19/02/2020,0,0
Havering,E09000016,19/02/2020,0,0
Hillingdon,E09000017,19/02/2020,0,0
Hounslow,E09000018,19/02/2020,0,0
Islington,E09000019,19/02/2020,0,0
Kensington and Chelsea,E09000020,19/02/2020,0,0
Kingston upon Thames,E09000021,19/02/2020,0,0
Lambeth,E09000022,19/02/2020,0,0
Lewisham,E09000023,19/02/2020,0,1
Merton,E09000024,19/02/2020,0,0
Newham,E09000025,19/02/2020,0,0
Redbridge,E09000026,19/02/2020,0,0
Richmond upon Thames,E09000027,19/02/2020,0,0
Southwark,E09000028,19/02/2020,0,0
Sutton,E09000029,19/02/2020,0,0
Tower Hamlets,E09000030,19/02/2020,0,0
Waltham Forest,E09000031,19/02/2020,0,0
Wandsworth,E09000032,19/02/2020,0,0
Westminster,E09000033,19/02/2020,0,0
Barking and Dagenham,E09000002,20/02/2020,0,0
Barnet,E09000003,20/02/2020,0,0
Bexley,E09000004,20/02/2020,0,0
Brent,E09000005,20/02/2020,0,0
Bromley,E09000006,20/02/2020,0,0
Camden,E09000007,20/02/2020,0,0
Croydon,E09000008,20/02/2020,0,0
Ealing,E09000009,20/02/2020,0,0
Enfield,E09000010,20/02/2020,0,0
Greenwich,E09000011,20/02/2020,0,0
Hackney and City of London,E09000012,20/02/2020,0,0
Hammersmith and Fulham,E09000013,20/02/2020,0,0
Haringey,E09000014,20/02/2020,0,0
Harrow,E09000015,20/02/2020,0,0
Havering,E09000016,20/02/2020,0,0
Hillingdon,E09000017,20/02/2020,0,0
Hounslow,E09000018,20/02/2020,0,0
Islington,E09000019,20/02/2020,0,0
Kensington and Chelsea,E09000020,20/02/2020,0,0
Kingston upon Thames,E09000021,20/02/2020,0,0
Lambeth,E09000022,20/02/2020,0,0
Lewisham,E09000023,20/02/2020,0,1
Merton,E09000024,20/02/2020,0,0
Newham,E09000025,20/02/2020,0,0
Redbridge,E09000026,20/02/2020,0,0
Richmond upon Thames,E09000027,20/02/2020,0,0
Southwark,E09000028,20/02/2020,0,0
Sutton,E09000029,20/02/2020,0,0
Tower Hamlets,E09000030,20/02/2020,0,0
Waltham Forest,E09000031,20/02/2020,0,0
Wandsworth,E09000032,20/02/2020,0,0
Westminster,E09000033,20/02/2020,0,0
Barking and Dagenham,E09000002,21/02/2020,0,0
Barnet,E09000003,21/02/2020,0,0
Bexley,E09000004,21/02/2020,0,0
Brent,E09000005,21/02/2020,0,0
Bromley,E09000006,21/02/2020,0,0
Camden,E09000007,21/02/2020,0,0
Croydon,E09000008,21/02/2020,0,0
Ealing,E09000009,21/02/2020,0,0
Enfield,E09000010,21/02/2020,0,0
Greenwich,E09000011,21/02/2020,0,0
Hackney and City of London,E09000012,21/02/2020,0,0
Hammersmith and Fulham,E09000013,21/02/2020,0,0
Haringey,E09000014,21/02/2020,0,0
Harrow,E09000015,21/02/2020,0,0
Havering,E09000016,21/02/2020,0,0
Hillingdon,E09000017,21/02/2020,0,0
Hounslow,E09000018,21/02/2020,0,0
Islington,E09000019,21/02/2020,0,0
Kensington and Chelsea,E09000020,21/02/2020,0,0
Kingston upon Thames,E09000021,21/02/2020,0,0
Lambeth,E09000022,21/02/2020,0,0
Lewisham,E09000023,21/02/2020,0,1
Merton,E09000024,21/02/2020,0,0
Newham,E09000025,21/02/2020,0,0
Redbridge,E09000026,21/02/2020,0,0
Richmond upon Thames,E09000027,21/02/2020,0,0
Southwark,E09000028,21/02/2020,0,0
Sutton,E09000029,21/02/2020,0,0
Tower Hamlets,E09000030,21/02/2020,0,0
Waltham Forest,E09000031,21/02/2020,0,0
Wandsworth,E09000032,21/02/2020,0,0
Westminster,E09000033,21/02/2020,0,0
Barking and Dagenham,E09000002,22/02/2020,0,0
Barnet,E09000003,22/02/2020,0,0
Bexley,E09000004,22/02/2020,0,0
Brent,E09000005,22/02/2020,0,0
Bromley,E09000006,22/02/2020,0,0
Camden,E09000007,22/02/2020,0,0
Croydon,E09000008,22/02/2020,0,0
Ealing,E09000009,22/02/2020,0,0
Enfield,E09000010,22/02/2020,0,0
Greenwich,E09000011,22/02/2020,0,0
Hackney and City of London,E09000012,22/02/2020,0,0
Hammersmith and Fulham,E09000013,22/02/2020,0,0
Haringey,E09000014,22/02/2020,0,0
Harrow,E09000015,22/02/2020,0,0
Havering,E09000016,22/02/2020,0,0
Hillingdon,E09000017,22/02/2020,0,0
Hounslow,E09000018,22/02/2020,0,0
Islington,E09000019,22/02/2020,0,0
Kensington and Chelsea,E09000020,22/02/2020,0,0
Kingston upon Thames,E09000021,22/02/2020,0,0
Lambeth,E09000022,22/02/2020,0,0
Lewisham,E09000023,22/02/2020,0,1
Merton,E09000024,22/02/2020,0,0
Newham,E09000025,22/02/2020,0,0
Redbridge,E09000026,22/02/2020,0,0
Richmond upon Thames,E09000027,22/02/2020,0,0
Southwark,E09000028,22/02/2020,0,0
Sutton,E09000029,22/02/2020,0,0
Tower Hamlets,E09000030,22/02/2020,0,0
Waltham Forest,E09000031,22/02/2020,0,0
Wandsworth,E09000032,22/02/2020,0,0
Westminster,E09000033,22/02/2020,0,0
Barking and Dagenham,E09000002,23/02/2020,0,0
Barnet,E09000003,23/02/2020,0,0
Bexley,E09000004,23/02/2020,0,0
Brent,E09000005,23/02/2020,0,0
Bromley,E09000006,23/02/2020,0,0
Camden,E09000007,23/02/2020,0,0
Croydon,E09000008,23/02/2020,0,0
Ealing,E09000009,23/02/2020,0,0
Enfield,E09000010,23/02/2020,0,0
Greenwich,E09000011,23/02/2020,0,0
Hackney and City of London,E09000012,23/02/2020,0,0
Hammersmith and Fulham,E09000013,23/02/2020,0,0
Haringey,E09000014,23/02/2020,0,0
Harrow,E09000015,23/02/2020,0,0
Havering,E09000016,23/02/2020,0,0
Hillingdon,E09000017,23/02/2020,0,0
Hounslow,E09000018,23/02/2020,0,0
Islington,E09000019,23/02/2020,0,0
Kensington and Chelsea,E09000020,23/02/2020,0,0
Kingston upon Thames,E09000021,23/02/2020,0,0
Lambeth,E09000022,23/02/2020,0,0
Lewisham,E09000023,23/02/2020,0,1
Merton,E09000024,23/02/2020,0,0
Newham,E09000025,23/02/2020,0,0
Redbridge,E09000026,23/02/2020,0,0
Richmond upon Thames,E09000027,23/02/2020,0,0
Southwark,E09000028,23/02/2020,0,0
Sutton,E09000029,23/02/2020,0,0
Tower Hamlets,E09000030,23/02/2020,0,0
Waltham Forest,E09000031,23/02/2020,0,0
Wandsworth,E09000032,23/02/2020,0,0
Westminster,E09000033,23/02/2020,0,0
Barking and Dagenham,E09000002,24/02/2020,0,0
Barnet,E09000003,24/02/2020,0,0
Bexley,E09000004,24/02/2020,0,0
Brent,E09000005,24/02/2020,0,0
Bromley,E09000006,24/02/2020,0,0
Camden,E09000007,24/02/2020,0,0
Croydon,E09000008,24/02/2020,0,0
Ealing,E09000009,24/02/2020,0,0
Enfield,E09000010,24/02/2020,0,0
Greenwich,E09000011,24/02/2020,0,0
Hackney and City of London,E09000012,24/02/2020,0,0
Hammersmith and Fulham,E09000013,24/02/2020,0,0
Haringey,E09000014,24/02/2020,0,0
Harrow,E09000015,24/02/2020,0,0
Havering,E09000016,24/02/2020,0,0
Hillingdon,E09000017,24/02/2020,0,0
Hounslow,E09000018,24/02/2020,0,0
Islington,E09000019,24/02/2020,0,0
Kensington and Chelsea,E09000020,24/02/2020,0,0
Kingston upon Thames,E09000021,24/02/2020,0,0
Lambeth,E09000022,24/02/2020,1,1
Lewisham,E09000023,24/02/2020,0,1
Merton,E09000024,24/02/2020,0,0
Newham,E09000025,24/02/2020,0,0
Redbridge,E09000026,24/02/2020,0,0
Richmond upon Thames,E09000027,24/02/2020,0,0
Southwark,E09000028,24/02/2020,0,0
Sutton,E09000029,24/02/2020,0,0
Tower Hamlets,E09000030,24/02/2020,0,0
Waltham Forest,E09000031,24/02/2020,0,0
Wandsworth,E09000032,24/02/2020,0,0
Westminster,E09000033,24/02/2020,0,0
Barking and Dagenham,E09000002,25/02/2020,0,0
Barnet,E09000003,25/02/2020,0,0
Bexley,E09000004,25/02/2020,0,0
Brent,E09000005,25/02/2020,0,0
Bromley,E09000006,25/02/2020,0,0
Camden,E09000007,25/02/2020,0,0
Croydon,E09000008,25/02/2020,0,0
Ealing,E09000009,25/02/2020,1,1
Enfield,E09000010,25/02/2020,0,0
Greenwich,E09000011,25/02/2020,0,0
Hackney and City of London,E09000012,25/02/2020,0,0
Hammersmith and Fulham,E09000013,25/02/2020,0,0
Haringey,E09000014,25/02/2020,0,0
Harrow,E09000015,25/02/2020,0,0
Havering,E09000016,25/02/2020,0,0
Hillingdon,E09000017,25/02/2020,0,0
Hounslow,E09000018,25/02/2020,0,0
Islington,E09000019,25/02/2020,0,0
Kensington and Chelsea,E09000020,25/02/2020,0,0
Kingston upon Thames,E09000021,25/02/2020,0,0
Lambeth,E09000022,25/02/2020,0,1
Lewisham,E09000023,25/02/2020,0,1
Merton,E09000024,25/02/2020,0,0
Newham,E09000025,25/02/2020,0,0
Redbridge,E09000026,25/02/2020,0,0
Richmond upon Thames,E09000027,25/02/2020,0,0
Southwark,E09000028,25/02/2020,2,2
Sutton,E09000029,25/02/2020,0,0
Tower Hamlets,E09000030,25/02/2020,0,0
Waltham Forest,E09000031,25/02/2020,0,0
Wandsworth,E09000032,25/02/2020,0,0
Westminster,E09000033,25/02/2020,0,0
Barking and Dagenham,E09000002,26/02/2020,0,0
Barnet,E09000003,26/02/2020,0,0
Bexley,E09000004,26/02/2020,0,0
Brent,E09000005,26/02/2020,0,0
Bromley,E09000006,26/02/2020,0,0
Camden,E09000007,26/02/2020,0,0
Croydon,E09000008,26/02/2020,0,0
Ealing,E09000009,26/02/2020,0,1
Enfield,E09000010,26/02/2020,0,0
Greenwich,E09000011,26/02/2020,0,0
Hackney and City of London,E09000012,26/02/2020,0,0
Hammersmith and Fulham,E09000013,26/02/2020,0,0
Haringey,E09000014,26/02/2020,0,0
Harrow,E09000015,26/02/2020,0,0
Havering,E09000016,26/02/2020,0,0
Hillingdon,E09000017,26/02/2020,0,0
Hounslow,E09000018,26/02/2020,0,0
Islington,E09000019,26/02/2020,0,0
Kensington and Chelsea,E09000020,26/02/2020,0,0
Kingston upon Thames,E09000021,26/02/2020,0,0
Lambeth,E09000022,26/02/2020,0,1
Lewisham,E09000023,26/02/2020,0,1
Merton,E09000024,26/02/2020,1,1
Newham,E09000025,26/02/2020,0,0
Redbridge,E09000026,26/02/2020,0,0
Richmond upon Thames,E09000027,26/02/2020,0,0
Southwark,E09000028,26/02/2020,0,2
Sutton,E09000029,26/02/2020,0,0
Tower Hamlets,E09000030,26/02/2020,0,0
Waltham Forest,E09000031,26/02/2020,0,0
Wandsworth,E09000032,26/02/2020,0,0
Westminster,E09000033,26/02/2020,1,1
Barking and Dagenham,E09000002,27/02/2020,0,0
Barnet,E09000003,27/02/2020,1,1
Bexley,E09000004,27/02/2020,0,0
Brent,E09000005,27/02/2020,0,0
Bromley,E09000006,27/02/2020,0,0
Camden,E09000007,27/02/2020,0,0
Croydon,E09000008,27/02/2020,0,0
Ealing,E09000009,27/02/2020,0,1
Enfield,E09000010,27/02/2020,0,0
Greenwich,E09000011,27/02/2020,0,0
Hackney and City of London,E09000012,27/02/2020,0,0
Hammersmith and Fulham,E09000013,27/02/2020,0,0
Haringey,E09000014,27/02/2020,0,0
Harrow,E09000015,27/02/2020,0,0
Havering,E09000016,27/02/2020,0,0
Hillingdon,E09000017,27/02/2020,0,0
Hounslow,E09000018,27/02/2020,0,0
Islington,E09000019,27/02/2020,0,0
Kensington and Chelsea,E09000020,27/02/2020,1,1
Kingston upon Thames,E09000021,27/02/2020,0,0
Lambeth,E09000022,27/02/2020,0,1
Lewisham,E09000023,27/02/2020,0,1
Merton,E09000024,27/02/2020,0,1
Newham,E09000025,27/02/2020,0,0
Redbridge,E09000026,27/02/2020,0,0
Richmond upon Thames,E09000027,27/02/2020,0,0
Southwark,E09000028,27/02/2020,0,2
Sutton,E09000029,27/02/2020,0,0
Tower Hamlets,E09000030,27/02/2020,0,0
Waltham Forest,E09000031,27/02/2020,0,0
Wandsworth,E09000032,27/02/2020,0,0
Westminster,E09000033,27/02/2020,0,1
Barking and Dagenham,E09000002,28/02/2020,0,0
Barnet,E09000003,28/02/2020,0,1
Bexley,E09000004,28/02/2020,0,0
Brent,E09000005,28/02/2020,0,0
Bromley,E09000006,28/02/2020,0,0
Camden,E09000007,28/02/2020,0,0
Croydon,E09000008,28/02/2020,0,0
Ealing,E09000009,28/02/2020,0,1
Enfield,E09000010,28/02/2020,0,0
Greenwich,E09000011,28/02/2020,0,0
Hackney and City of London,E09000012,28/02/2020,0,0
Hammersmith and Fulham,E09000013,28/02/2020,0,0
Haringey,E09000014,28/02/2020,0,0
Harrow,E09000015,28/02/2020,0,0
Havering,E09000016,28/02/2020,0,0
Hillingdon,E09000017,28/02/2020,0,0
Hounslow,E09000018,28/02/2020,1,1
Islington,E09000019,28/02/2020,0,0
Kensington and Chelsea,E09000020,28/02/2020,1,2
Kingston upon Thames,E09000021,28/02/2020,0,0
Lambeth,E09000022,28/02/2020,0,1
Lewisham,E09000023,28/02/2020,0,1
Merton,E09000024,28/02/2020,0,1
Newham,E09000025,28/02/2020,0,0
Redbridge,E09000026,28/02/2020,0,0
Richmond upon Thames,E09000027,28/02/2020,0,0
Southwark,E09000028,28/02/2020,1,3
Sutton,E09000029,28/02/2020,0,0
Tower Hamlets,E09000030,28/02/2020,0,0
Waltham Forest,E09000031,28/02/2020,0,0
Wandsworth,E09000032,28/02/2020,0,0
Westminster,E09000033,28/02/2020,0,1
Barking and Dagenham,E09000002,29/02/2020,0,0
Barnet,E09000003,29/02/2020,0,1
Bexley,E09000004,29/02/2020,0,0
Brent,E09000005,29/02/2020,0,0
Bromley,E09000006,29/02/2020,0,0
Camden,E09000007,29/02/2020,0,0
Croydon,E09000008,29/02/2020,0,0
Ealing,E09000009,29/02/2020,0,1
Enfield,E09000010,29/02/2020,0,0
Greenwich,E09000011,29/02/2020,0,0
Hackney and City of London,E09000012,29/02/2020,0,0
Hammersmith and Fulham,E09000013,29/02/2020,0,0
Haringey,E09000014,29/02/2020,0,0
Harrow,E09000015,29/02/2020,0,0
Havering,E09000016,29/02/2020,0,0
Hillingdon,E09000017,29/02/2020,0,0
Hounslow,E09000018,29/02/2020,0,1
Islington,E09000019,29/02/2020,0,0
Kensington and Chelsea,E09000020,29/02/2020,0,2
Kingston upon Thames,E09000021,29/02/2020,1,1
Lambeth,E09000022,29/02/2020,0,1
Lewisham,E09000023,29/02/2020,0,1
Merton,E09000024,29/02/2020,0,1
Newham,E09000025,29/02/2020,0,0
Redbridge,E09000026,29/02/2020,0,0
Richmond upon Thames,E09000027,29/02/2020,0,0
Southwark,E09000028,29/02/2020,0,3
Sutton,E09000029,29/02/2020,0,0
Tower Hamlets,E09000030,29/02/2020,0,0
Waltham Forest,E09000031,29/02/2020,0,0
Wandsworth,E09000032,29/02/2020,0,0
Westminster,E09000033,29/02/2020,0,1
Barking and Dagenham,E09000002,01/03/2020,1,1
Barnet,E09000003,01/03/2020,0,1
Bexley,E09000004,01/03/2020,0,0
Brent,E09000005,01/03/2020,0,0
Bromley,E09000006,01/03/2020,1,1
Camden,E09000007,01/03/2020,0,0
Croydon,E09000008,01/03/2020,0,0
Ealing,E09000009,01/03/2020,0,1
Enfield,E09000010,01/03/2020,0,0
Greenwich,E09000011,01/03/2020,0,0
Hackney and City of London,E09000012,01/03/2020,0,0
Hammersmith and Fulham,E09000013,01/03/2020,0,0
Haringey,E09000014,01/03/2020,0,0
Harrow,E09000015,01/03/2020,0,0
Havering,E09000016,01/03/2020,0,0
Hillingdon,E09000017,01/03/2020,0,0
Hounslow,E09000018,01/03/2020,1,2
Islington,E09000019,01/03/2020,0,0
